"name","parent","type","size"
"D:\Documents\GB\python_spec\.git\objects\07","D:\Documents\GB\python_spec\.git\objects","dir",1046
"D:\Documents\GB\python_spec\.git\objects\07\b8a16c0abdb4a2b1463be0db9e88b36b994ed8","D:\Documents\GB\python_spec\.git\objects\07","file",875
"D:\Documents\GB\python_spec\.git\objects\07\f492513de4df592343c372464fd6b8ff16a0f2","D:\Documents\GB\python_spec\.git\objects\07","file",171
"D:\Documents\GB\python_spec\.git\objects\08","D:\Documents\GB\python_spec\.git\objects","dir",320
"D:\Documents\GB\python_spec\.git\objects\08\1c4bf94267c79c6015873f6fa4461d365710d2","D:\Documents\GB\python_spec\.git\objects\08","file",320
"D:\Documents\GB\python_spec\.git\objects\09","D:\Documents\GB\python_spec\.git\objects","dir",934
"D:\Documents\GB\python_spec\.git\objects\09\65f66c271e95225b9b3e996ba41f49e0313bf9","D:\Documents\GB\python_spec\.git\objects\09","file",934
"D:\Documents\GB\python_spec\.git\objects\0a","D:\Documents\GB\python_spec\.git\objects","dir",490
"D:\Documents\GB\python_spec\.git\objects\0a\688fc9f8438f134be51392f3810f65bc58c370","D:\Documents\GB\python_spec\.git\objects\0a","file",322
"D:\Documents\GB\python_spec\.git\objects\0a\e8a255c9755187762c1e07355bc3616c533d2f","D:\Documents\GB\python_spec\.git\objects\0a","file",168
"D:\Documents\GB\python_spec\.git\objects\0b","D:\Documents\GB\python_spec\.git\objects","dir",237
"D:\Documents\GB\python_spec\.git\objects\0b\40058b5c1ad957b80d99ec9557afe9c8e73080","D:\Documents\GB\python_spec\.git\objects\0b","file",237
"D:\Documents\GB\python_spec\.git\objects\0c","D:\Documents\GB\python_spec\.git\objects","dir",1247
"D:\Documents\GB\python_spec\.git\objects\0c\66fa72aeff34414072deeb5b383009de1d1d5b","D:\Documents\GB\python_spec\.git\objects\0c","file",175
"D:\Documents\GB\python_spec\.git\objects\0c\6a1287ccc6947db30cc8c647c167f609d635b8","D:\Documents\GB\python_spec\.git\objects\0c","file",793
"D:\Documents\GB\python_spec\.git\objects\0c\87edb57729e8d34fab5eb36bca4bc2ee69bab5","D:\Documents\GB\python_spec\.git\objects\0c","file",52
"D:\Documents\GB\python_spec\.git\objects\0c\d8d3eac06ad30f6f1fa80faada6928d3d2c07a","D:\Documents\GB\python_spec\.git\objects\0c","file",52
"D:\Documents\GB\python_spec\.git\objects\0c\fe978a7b8b850ebbd04cf4e52330b357469ac8","D:\Documents\GB\python_spec\.git\objects\0c","file",175
"D:\Documents\GB\python_spec\.git\objects\0d","D:\Documents\GB\python_spec\.git\objects","dir",624
"D:\Documents\GB\python_spec\.git\objects\0d\3802441ed2307df921c8c1a1bc927d3a9bad3a","D:\Documents\GB\python_spec\.git\objects\0d","file",176
"D:\Documents\GB\python_spec\.git\objects\0d\a1725dd79c7ab29254c80694e0dab0fe1a8847","D:\Documents\GB\python_spec\.git\objects\0d","file",448
"D:\Documents\GB\python_spec\.git\objects\11","D:\Documents\GB\python_spec\.git\objects","dir",730
"D:\Documents\GB\python_spec\.git\objects\11\9bda6e4765f005f047a94f1e3114c702015474","D:\Documents\GB\python_spec\.git\objects\11","file",169
"D:\Documents\GB\python_spec\.git\objects\11\b89d69b0974ad6723c09c4e9db54eb2c7434cb","D:\Documents\GB\python_spec\.git\objects\11","file",473
"D:\Documents\GB\python_spec\.git\objects\11\bfe87ae49fc55bc3a5591d077896bc962f2664","D:\Documents\GB\python_spec\.git\objects\11","file",88
"D:\Documents\GB\python_spec\.git\objects\12","D:\Documents\GB\python_spec\.git\objects","dir",885
"D:\Documents\GB\python_spec\.git\objects\12\55e120a13cffab8fc047a753771038f8725afd","D:\Documents\GB\python_spec\.git\objects\12","file",388
"D:\Documents\GB\python_spec\.git\objects\12\5fa196a443dad5ea8e6b96d7a20f907bdf960f","D:\Documents\GB\python_spec\.git\objects\12","file",289
"D:\Documents\GB\python_spec\.git\objects\12\8b59b6d689eb64356b91f09b3c71634d6045f3","D:\Documents\GB\python_spec\.git\objects\12","file",208
"D:\Documents\GB\python_spec\.git\objects\13","D:\Documents\GB\python_spec\.git\objects","dir",182
"D:\Documents\GB\python_spec\.git\objects\13\f2dd6ee46f51bee73ba04c4c6bbbb6f3046fe1","D:\Documents\GB\python_spec\.git\objects\13","file",182
"D:\Documents\GB\python_spec\.git\objects\14","D:\Documents\GB\python_spec\.git\objects","dir",530
"D:\Documents\GB\python_spec\.git\objects\14\74d2c7c9e29b54e0d0772342c83b22ba70e649","D:\Documents\GB\python_spec\.git\objects\14","file",202
"D:\Documents\GB\python_spec\.git\objects\14\8f1763b12485f068518f3a5d6d207d2299daee","D:\Documents\GB\python_spec\.git\objects\14","file",102
"D:\Documents\GB\python_spec\.git\objects\14\cd4ba7220112196fbaad62e563364b20cfd75d","D:\Documents\GB\python_spec\.git\objects\14","file",226
"D:\Documents\GB\python_spec\.git\objects\16","D:\Documents\GB\python_spec\.git\objects","dir",272
"D:\Documents\GB\python_spec\.git\objects\16\336829233a7c8ffbe01fe895b58637e0e47151","D:\Documents\GB\python_spec\.git\objects\16","file",106
"D:\Documents\GB\python_spec\.git\objects\16\8deb2d64f08d6118bde1f4dd062b9f367f8072","D:\Documents\GB\python_spec\.git\objects\16","file",166
"D:\Documents\GB\python_spec\.git\objects\17","D:\Documents\GB\python_spec\.git\objects","dir",166
"D:\Documents\GB\python_spec\.git\objects\17\01648753b580352a02f7748a903179b2dcbd00","D:\Documents\GB\python_spec\.git\objects\17","file",166
"D:\Documents\GB\python_spec\.git\objects\18","D:\Documents\GB\python_spec\.git\objects","dir",168
"D:\Documents\GB\python_spec\.git\objects\18\5429b10e96b72374cfb30367b6a83c4129f3c8","D:\Documents\GB\python_spec\.git\objects\18","file",168
"D:\Documents\GB\python_spec\.git\objects\19","D:\Documents\GB\python_spec\.git\objects","dir",2306
"D:\Documents\GB\python_spec\.git\objects\19\a7d406811a8352e7fb6f4986d15674b2409d1c","D:\Documents\GB\python_spec\.git\objects\19","file",815
"D:\Documents\GB\python_spec\.git\objects\19\bbbf6f8951b8362327a37eb170d47a5508c08f","D:\Documents\GB\python_spec\.git\objects\19","file",1491
"D:\Documents\GB\python_spec\.git\objects\1a","D:\Documents\GB\python_spec\.git\objects","dir",381
"D:\Documents\GB\python_spec\.git\objects\1a\4bdc035b2d46c7143a71bc14660d6cb04aab9d","D:\Documents\GB\python_spec\.git\objects\1a","file",171
"D:\Documents\GB\python_spec\.git\objects\1a\948a51a19d73b5c0d12964c44b78399d4a4a4b","D:\Documents\GB\python_spec\.git\objects\1a","file",103
"D:\Documents\GB\python_spec\.git\objects\1a\d10089a985d2acc520753d843dfc1fc9b33c40","D:\Documents\GB\python_spec\.git\objects\1a","file",107
"D:\Documents\GB\python_spec\.git\objects\1b","D:\Documents\GB\python_spec\.git\objects","dir",549
"D:\Documents\GB\python_spec\.git\objects\1b\90c549d7da6132856c5e6f5bb36e2c0195e99f","D:\Documents\GB\python_spec\.git\objects\1b","file",549
"D:\Documents\GB\python_spec\.git\objects\1d","D:\Documents\GB\python_spec\.git\objects","dir",1064
"D:\Documents\GB\python_spec\.git\objects\1d\307bec10b2f1e43b63ddd251d6858c06141d66","D:\Documents\GB\python_spec\.git\objects\1d","file",95
"D:\Documents\GB\python_spec\.git\objects\1d\cba6f84211de1f89b9214fd94993dbb29eaabb","D:\Documents\GB\python_spec\.git\objects\1d","file",545
"D:\Documents\GB\python_spec\.git\objects\1d\f20c94ab55de90aec515713c4b74b6f2763329","D:\Documents\GB\python_spec\.git\objects\1d","file",424
"D:\Documents\GB\python_spec\.git\objects\1e","D:\Documents\GB\python_spec\.git\objects","dir",599
"D:\Documents\GB\python_spec\.git\objects\1e\f2ea3fe564626ff7d426e867c9447e06a203f7","D:\Documents\GB\python_spec\.git\objects\1e","file",599
"D:\Documents\GB\python_spec\.git\objects\1f","D:\Documents\GB\python_spec\.git\objects","dir",381
"D:\Documents\GB\python_spec\.git\objects\1f\168f7d87702e7606385829979feb6f2a3dffdf","D:\Documents\GB\python_spec\.git\objects\1f","file",381
"D:\Documents\GB\python_spec\.git\objects\20","D:\Documents\GB\python_spec\.git\objects","dir",531
"D:\Documents\GB\python_spec\.git\objects\20\26a86e8abddd107564cb0a49c06e713ab9664b","D:\Documents\GB\python_spec\.git\objects\20","file",169
"D:\Documents\GB\python_spec\.git\objects\20\43d76765860638db245f13ca96cda7b6cbaa2d","D:\Documents\GB\python_spec\.git\objects\20","file",227
"D:\Documents\GB\python_spec\.git\objects\20\54e0763e3597f65ea95cc0b348f3aab921b27f","D:\Documents\GB\python_spec\.git\objects\20","file",135
"D:\Documents\GB\python_spec\.git\objects\23","D:\Documents\GB\python_spec\.git\objects","dir",1324
"D:\Documents\GB\python_spec\.git\objects\23\0412f36d2f975ef1dd331fbbe9255777526de2","D:\Documents\GB\python_spec\.git\objects\23","file",296
"D:\Documents\GB\python_spec\.git\objects\23\1619044de83c6c9cb2a213b8caec1c0f208ad9","D:\Documents\GB\python_spec\.git\objects\23","file",518
"D:\Documents\GB\python_spec\.git\objects\23\24cea0e6aad380935c17434c0b0d1a2be55871","D:\Documents\GB\python_spec\.git\objects\23","file",299
"D:\Documents\GB\python_spec\.git\objects\23\c5729dc2baf86060151571db8639438220182d","D:\Documents\GB\python_spec\.git\objects\23","file",104
